Area,Conference,Year,Sequence,Accepted,Submitted,Source,Notes
AI,AAAI,1986.0,1,249.0,545.0,,
AI,AAAI,1987.0,1,173.0,634.0,,
AI,AAAI,1988.0,1,147.0,492.0,,
AI,AAAI,1990.0,1,161.0,892.0,,
AI,AAAI,1991.0,1,142.0,603.0,,
AI,AAAI,1992.0,1,133.0,636.0,,
AI,AAAI,1993.0,1,126.0,524.0,,
AI,AAAI,1994.0,1,222.0,780.0,,
AI,AAAI,1996.0,1,197.0,643.0,,
AI,AAAI,1997.0,1,117.0,323.0,,
AI,AAAI,1998.0,1,144.0,475.0,,
AI,AAAI,1999.0,1,109.0,400.0,,
AI,AAAI,2000.0,1,144.0,431.0,,
AI,AAAI,2002.0,1,121.0,469.0,,
AI,AAAI,2004.0,1,121.0,453.0,,
AI,AAAI,2005.0,1,225.0,803.0,,
AI,AAAI,2006.0,1,236.0,776.0,,
AI,AAAI,2007.0,1,251.0,923.0,,
AI,AAAI,2008.0,1,227.0,937.0,,
AI,AAAI,2010.0,1,264.0,982.0,,
AI,AAAI,2011.0,1,243.0,975.0,,
AI,AAAI,2012.0,1,293.0,1129.0,,
AI,AAAI,2013.0,1,203.0,690.0,,
AI,AAAI,2014.0,1,398.0,1406.0,,
AI,AAAI,2015.0,1,532.0,1991.0,,
AI,AAAI,2016.0,1,551.0,2132.0,,
AI,AAAI,2017.0,1,634.0,2590.0,,
AI,AAAI,2018.0,1,934.0,3800.0,,
AI,AAAI,2019.0,1,1146.0,7095.0,,
AI,AAAI,2020.0,1,1596.0,7737.0,,
AI,AAAI,2021.0,1,1692.0,7911.0,,
AI,AAAI,2022.0,1,1349.0,9020.0,,
AI,AAAI,2023.0,1,1721.0,8777.0,,
AI,AAAI,2024.0,1,2342.0,9862.0,https://github.com/lixin4ever/Conference-Acceptance-Rate,
AI,AAAI,2025.0,1,3032.0,12957.0,https://github.com/lixin4ever/Conference-Acceptance-Rate,
AI,IJCAI,1995.0,1,249.0,1112.0,,
AI,IJCAI,1997.0,1,216.0,882.0,,
AI,IJCAI,1999.0,1,194.0,750.0,,
AI,IJCAI,2001.0,1,197.0,796.0,,
AI,IJCAI,2003.0,1,189.0,913.0,,
AI,IJCAI,2005.0,1,241.0,1329.0,,
AI,IJCAI,2007.0,1,213.0,1353.0,,
AI,IJCAI,2009.0,1,332.0,1290.0,,
AI,IJCAI,2011.0,1,400.0,1325.0,,
AI,IJCAI,2013.0,1,413.0,1473.0,,
AI,IJCAI,2015.0,1,574.0,1996.0,,
AI,IJCAI,2016.0,1,550.0,2294.0,,
AI,IJCAI,2017.0,1,660.0,2540.0,,
AI,IJCAI,2018.0,1,711.0,3470.0,,
AI,IJCAI,2019.0,1,850.0,4752.0,,
AI,IJCAI,2020.0,1,704.0,5680.0,,
AI,IJCAI,2021.0,1,587.0,4204.0,,
AI,IJCAI,2022.0,1,679.0,4537.0,,
AI,IJCAI,2023.0,1,643.0,4566.0,https://github.com/lixin4ever/Conference-Acceptance-Rate,
AI,IJCAI,2024.0,1,791.0,5651.0,https://openaccept.org/c/ai/ijcai/,
AI,IJCAI,2024.0,1,791.0,5651.0,https://x.com/IJCAIconf/status/1957803857347490245,
AI,IJCAI,2025.0,1,1042.0,5404.0,https://github.com/lixin4ever/Conference-Acceptance-Rate,
